Input,Output
-0.213013,0.717651
0.019897,0.033020
0.448669,-0.244965
0.498291,0.318146
0.057831,0.202240
-0.001984,0.387604
0.363983,0.245117
0.485596,0.246399
0.343872,0.310913
0.463074,0.254852
0.433868,0.321075
0.712402,0.292572
0.932770,0.371552
1.000000,0.326324
0.244049,0.307281
0.364288,0.246765
0.534149,0.329376
0.841766,0.307037
0.530914,0.339478
0.269379,0.230103
0.124237,0.278809
0.258728,0.232239
0.375732,0.306732
0.310638,0.234253
-0.547333,0.423889
-0.087006,0.878967
0.126740,0.059967
0.286957,-0.269287
0.302460,0.282074
-0.543640,0.333069
-0.428009,0.655121
-0.431366,0.413635
0.175873,-0.273682
0.051453,-0.176666
-0.447052,0.507324
-0.550140,0.618408
-0.505859,0.384216
-0.366699,0.023499
-0.271790,-0.118866
-0.705505,-0.159302
-0.546997,0.432465
-0.371704,0.678345
-0.328857,0.141479
0.056335,-0.301697
-0.697052,0.258423
-0.590240,0.586609
-0.106201,0.511536
-0.109375,-0.188019
-0.044373,0.230988
-0.474304,0.634583
-0.503113,0.385498
0.195984,-0.277863
0.482147,-0.205109
0.593628,0.335327
-0.066925,0.408997
-0.038269,0.414581
0.422577,0.263580
0.938141,0.131989
0.874115,-0.038269
0.464905,0.093964
0.275970,0.103912
0.555939,0.088715
0.932739,0.054596
0.759033,0.070801
0.279327,0.104370
0.372833,0.100128
0.418427,0.095825
0.951019,0.053986
0.742310,0.071625
0.318268,0.102386
0.044250,0.116028
0.548615,0.083008
0.677277,0.066772
0.382172,0.094208
0.368683,0.098816
0.004974,0.116333
0.011505,0.097992
0.412445,0.074432
-0.154663,0.386353
-0.562714,0.355713
-0.731628,0.546600
-0.328522,0.442047
-0.199249,-0.212097
-0.058105,-0.202423
-0.640778,0.406708
-0.840149,0.504303
-0.611542,0.596069
-0.121338,0.508606
-0.435577,-0.243286
-0.199036,-0.005646
-0.438568,0.212250
-0.568634,0.018860
0.091522,-0.102875
-0.060364,-0.315857
-0.488251,-0.103821
-0.438293,0.467834
-0.517822,0.627808
0.197449,-0.009186
0.295380,-0.320984
-0.368683,-0.242462
-0.289917,0.512329
-0.347717,0.432312
0.241638,-0.254303
0.242310,-0.121826
0.146973,0.174286
-0.021484,0.119110
0.415619,-0.243011
0.775543,0.356873
0.614166,0.281036
0.477661,0.134521
0.324585,-0.026428
0.464264,0.093658
0.772156,0.066467
0.782562,0.067474
0.472656,0.093994
-0.096252,0.371582
0.365356,0.245483
0.683838,0.135712
0.689545,-0.036285
0.342651,0.098480
0.234161,0.105988
0.428680,0.096619
0.433563,0.094391
0.291168,0.101654
-0.219360,0.376984
-0.445160,0.373108
0.009125,0.198425
0.121826,0.153290
0.117371,-0.025574
-0.018280,0.380615
-0.346649,0.390533
-0.290558,0.375031
0.262024,0.238251
-0.009369,0.379395
-0.628174,0.397949
-0.792297,0.601898
-0.348450,0.416565
-0.327576,-0.236877
-0.233124,-0.015717
-0.522675,0.445313
-0.605438,0.594208
-0.483704,0.389954
-0.241821,-0.227722
-0.256744,-0.229248
-0.383972,0.484253
-0.813110,0.520294
-0.284149,0.715668
0.121613,0.043365
-0.089844,-0.152771
-0.286285,0.524323
-0.392090,0.417267
0.098328,-0.285156
0.325439,-0.096741
0.453369,0.320770
0.180969,0.224030
0.189667,0.149231
0.078278,-0.025543
0.884338,0.063782
0.781891,0.065613
0.415710,0.096588
0.199097,0.107269
0.645569,0.081787
0.618530,0.078918
0.659454,0.076935
0.432861,0.095245
0.417725,0.095917
0.389496,0.096985
0.819244,0.064331
0.746460,0.070557
0.203369,0.107513
0.086395,0.115234
0.355957,0.088623
0.548706,0.079254
0.303711,0.096344
-0.230316,0.376068
0.116486,0.212311
-0.059723,0.380219
0.283386,0.234741
0.041412,0.178284
-0.448761,0.437897
-0.480499,0.734070
-0.200897,0.472900
-0.326263,-0.229736
-0.459930,-0.085632
-0.439178,0.468475
-0.772095,0.534729
-0.357025,0.431396
-0.370239,-0.242218
-0.330048,-0.046387
-0.474640,0.458984
-0.575043,0.606323
-0.368042,0.433441
-0.423187,-0.251709
0.215637,0.057220
-0.680267,0.144623
-0.601379,0.003326
-0.377808,0.235107
-0.070007,0.196014
0.069305,0.068024
-0.032990,-0.146759
-0.279846,0.304474
-0.132050,0.741974
0.210266,0.060638
0.348083,-0.257629
-0.158691,0.321869
0.093262,0.156128
0.398773,0.098999
0.640442,-0.254364
0.656799,0.253601
0.274963,0.217865
0.403778,0.236389
0.329803,0.305725
0.708710,0.291809
0.708771,0.355530
0.198792,0.218536
0.163391,0.283295
0.711609,0.292389
0.528748,0.336792
0.585541,0.271362
0.230316,0.300476
0.376068,0.246735
0.158539,0.284760
0.552185,0.267914
0.251984,0.300507
-0.004181,0.297729
-0.218414,0.475983
0.348114,0.507202
0.205994,0.236572
0.237885,0.220764
-0.598907,0.398132
-0.514435,0.663269
-0.170532,0.560822
