x_real,y_real_hw
-8.000000,-1.000000
-7.937500,-1.000000
-7.875000,-1.000000
-7.812500,-1.000000
-7.750000,-1.000000
-7.687500,-1.000000
-7.625000,-1.000000
-7.562500,-1.000000
-7.500000,-1.000000
-7.437500,-1.000000
-7.375000,-1.000000
-7.312500,-1.000000
-7.250000,-1.000000
-7.187500,-1.000000
-7.125000,-1.000000
-7.062500,-1.000000
-7.000000,-1.000000
-6.937500,-1.000000
-6.875000,-1.000000
-6.812500,-1.000000
-6.750000,-1.000000
-6.687500,-1.000000
-6.625000,-1.000000
-6.562500,-1.000000
-6.500000,-1.000000
-6.437500,-1.000000
-6.375000,-1.000000
-6.312500,-1.000000
-6.250000,-1.000000
-6.187500,-1.000000
-6.125000,-1.000000
-6.062500,-1.000000
-6.000000,-1.000000
-5.937500,-1.000000
-5.875000,-1.000000
-5.812500,-1.000000
-5.750000,-1.000000
-5.687500,-1.000000
-5.625000,-1.000000
-5.562500,-1.000000
-5.500000,-1.000000
-5.437500,-1.000000
-5.375000,-1.000000
-5.312500,-1.000000
-5.250000,-1.000000
-5.187500,-1.000000
-5.125000,-1.000000
-5.062500,-1.000000
-5.000000,-1.000000
-4.937500,-1.000000
-4.875000,-1.000000
-4.812500,-1.000000
-4.750000,-1.000000
-4.687500,-1.000000
-4.625000,-1.000000
-4.562500,-1.000000
-4.500000,-1.000000
-4.437500,-1.000000
-4.375000,-1.000000
-4.312500,-1.000000
-4.250000,-1.000000
-4.187500,-1.000000
-4.125000,-1.000000
-4.062500,-1.000000
-4.000000,-1.000000
-3.937500,-1.000000
-3.875000,-1.000000
-3.812500,-1.000000
-3.750000,-1.000000
-3.687500,-1.000000
-3.625000,-1.000000
-3.562500,-1.000000
-3.500000,-1.000000
-3.437500,-1.000000
-3.375000,-1.000000
-3.312500,-1.000000
-3.250000,-1.000000
-3.187500,-1.000000
-3.125000,-1.000000
-3.062500,-1.000000
-3.000000,-1.000000
-2.937500,-1.000000
-2.875000,-1.000000
-2.812500,-1.000000
-2.750000,-1.000000
-2.687500,-1.000000
-2.625000,-1.000000
-2.562500,-1.000000
-2.500000,-1.000000
-2.437500,-1.000000
-2.375000,-1.000000
-2.312500,-0.982422
-2.250000,-0.976563
-2.187500,-0.970703
-2.125000,-0.964844
-2.062500,-0.958984
-2.000000,-0.953125
-1.937500,-0.947266
-1.875000,-0.941406
-1.812500,-0.935547
-1.750000,-0.929688
-1.687500,-0.923828
-1.625000,-0.917969
-1.562500,-0.912109
-1.500000,-0.906250
-1.437500,-0.888672
-1.375000,-0.871094
-1.312500,-0.853516
-1.250000,-0.835938
-1.187500,-0.818359
-1.125000,-0.800781
-1.062500,-0.783203
-1.000000,-0.765625
-0.937500,-0.728516
-0.875000,-0.691406
-0.812500,-0.654297
-0.750000,-0.617188
-0.687500,-0.580078
-0.625000,-0.542969
-0.562500,-0.505859
-0.500000,-0.468750
-0.437500,-0.410156
